Local time - DST,P
2015-01-23 08:10:00+00:00,13.03
2015-01-23 09:10:00+00:00,67.8
2015-01-23 10:10:00+00:00,225.02
2015-01-23 11:10:00+00:00,343.72
2015-01-23 12:10:00+00:00,300.9
2015-01-23 13:10:00+00:00,113.23
2015-01-23 14:10:00+00:00,125.44
2015-01-23 15:10:00+00:00,50.96
2015-01-23 16:10:00+00:00,47.01
2015-01-23 17:10:00+00:00,0.0
2015-01-23 18:10:00+00:00,0.0
2015-01-23 19:10:00+00:00,0.0
2015-01-23 20:10:00+00:00,0.0
2015-01-23 21:10:00+00:00,0.0
2015-01-23 22:10:00+00:00,0.0
2015-01-23 23:10:00+00:00,0.0
2015-01-24 00:10:00+00:00,0.0
2015-01-24 01:10:00+00:00,0.0
2015-01-24 02:10:00+00:00,0.0
2015-01-24 03:10:00+00:00,0.0
2015-01-24 04:10:00+00:00,0.0
2015-01-24 05:10:00+00:00,0.0
2015-01-24 06:10:00+00:00,0.0
2015-01-24 07:10:00+00:00,0.0
2015-01-24 08:10:00+00:00,42.71
2015-01-24 09:10:00+00:00,227.89
2015-01-24 10:10:00+00:00,384.43
2015-01-24 11:10:00+00:00,429.5
2015-01-24 12:10:00+00:00,523.29
2015-01-24 13:10:00+00:00,401.75
2015-01-24 14:10:00+00:00,147.73
2015-01-24 15:10:00+00:00,75.88
2015-01-24 16:10:00+00:00,14.48
2015-01-24 17:10:00+00:00,0.0
2015-01-24 18:10:00+00:00,0.0
2015-01-24 19:10:00+00:00,0.0
2015-01-24 20:10:00+00:00,0.0
2015-01-24 21:10:00+00:00,0.0
2015-01-24 22:10:00+00:00,0.0
2015-01-24 23:10:00+00:00,0.0
2015-01-25 00:10:00+00:00,0.0
2015-01-25 01:10:00+00:00,0.0
2015-01-25 02:10:00+00:00,0.0
2015-01-25 03:10:00+00:00,0.0
2015-01-25 04:10:00+00:00,0.0
2015-01-25 05:10:00+00:00,0.0
2015-01-25 06:10:00+00:00,0.0
2015-01-25 07:10:00+00:00,0.0
2015-01-25 08:10:00+00:00,0.0
2015-01-25 09:10:00+00:00,71.74
2015-01-25 10:10:00+00:00,279.03
2015-01-25 11:10:00+00:00,135.33
2015-01-25 12:10:00+00:00,197.67
2015-01-25 13:10:00+00:00,337.23
2015-01-25 14:10:00+00:00,357.88
2015-01-25 15:10:00+00:00,295.79
2015-01-25 16:10:00+00:00,104.05
2015-01-25 17:10:00+00:00,0.0
2015-01-25 18:10:00+00:00,0.0
2015-01-25 19:10:00+00:00,0.0
2015-01-25 20:10:00+00:00,0.0
2015-01-25 21:10:00+00:00,0.0
2015-01-25 22:10:00+00:00,0.0
2015-01-25 23:10:00+00:00,0.0
2015-01-26 00:10:00+00:00,0.0
2015-01-26 01:10:00+00:00,0.0
2015-01-26 02:10:00+00:00,0.0
2015-01-26 03:10:00+00:00,0.0
2015-01-26 04:10:00+00:00,0.0
2015-01-26 05:10:00+00:00,0.0
2015-01-26 06:10:00+00:00,0.0
2015-01-26 07:10:00+00:00,0.0
2015-01-26 08:10:00+00:00,26.54
2015-01-26 09:10:00+00:00,234.87
2015-01-26 10:10:00+00:00,396.2
2015-01-26 11:10:00+00:00,497.05
2015-01-26 12:10:00+00:00,547.87
2015-01-26 13:10:00+00:00,512.74
2015-01-26 14:10:00+00:00,448.3
2015-01-26 15:10:00+00:00,324.9
2015-01-26 16:10:00+00:00,140.61
2015-01-26 17:10:00+00:00,0.0
2015-01-26 18:10:00+00:00,0.0
2015-01-26 19:10:00+00:00,0.0
2015-01-26 20:10:00+00:00,0.0
2015-01-26 21:10:00+00:00,0.0
2015-01-26 22:10:00+00:00,0.0
2015-01-26 23:10:00+00:00,0.0
2015-01-27 00:10:00+00:00,0.0
2015-01-27 01:10:00+00:00,0.0
2015-01-27 02:10:00+00:00,0.0
2015-01-27 03:10:00+00:00,0.0
2015-01-27 04:10:00+00:00,0.0
2015-01-27 05:10:00+00:00,0.0
2015-01-27 06:10:00+00:00,0.0
2015-01-27 07:10:00+00:00,0.0
2015-01-27 08:10:00+00:00,49.35
2015-01-27 09:10:00+00:00,236.62
2015-01-27 10:10:00+00:00,390.76
2015-01-27 11:10:00+00:00,488.58
2015-01-27 12:10:00+00:00,533.02
2015-01-27 13:10:00+00:00,444.84
2015-01-27 14:10:00+00:00,332.19
2015-01-27 15:10:00+00:00,166.43
2015-01-27 16:10:00+00:00,79.86
2015-01-27 17:10:00+00:00,0.0
2015-01-27 18:10:00+00:00,0.0
2015-01-27 19:10:00+00:00,0.0
2015-01-27 20:10:00+00:00,0.0
2015-01-27 21:10:00+00:00,0.0
2015-01-27 22:10:00+00:00,0.0
2015-01-27 23:10:00+00:00,0.0
